#;G l i   s t e l l a r i   13/01//2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N 10;Cecilia di Baone (Cabernet);Colli Euganei;2013;Il Filo'delle Vigne;€.;20;9,5;16.01.2016;Bernabei;30+6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N 7;Corpore;Treviso;2010;;€.;23;8,8;14.08.2014;Gianelli;18;;;;;;;;;;;;;;;;;;42;15,4;;;;;A 30;Venegazzu’Capo di Stato;Colli Trevigiani;88;Loredan Gasparini;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;15,4;;;;;A 30;Venegazzu’Capo di Stato;Colli Trevigiani;88;Loredan Gasparini;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;15,4;;;;;A 30;Venegazzu’Capo di Stato;Colli Trevigiani;88;Loredan Gasparini;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;15,4;;;
N 6;Marzemino Cornarotto;Breganze;;Maculan;€.;17;;15.01.2015;Robert;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N 11;Merlot Ad Nonam;Lison Pramaggiore;2001;Mosole;€.;20;8,5;06.11.2006;Guarnier;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N 3;Merlot le more;Merlot;2015;Corte figaretto;€.;26;12;17.08.2017;Sponga;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 16;"Palazzotto ""Cab.Sauvignon""";Breganze;2011;Maculan;€.;24;11,2;15.01.2015;Robert;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N 5;Rosso della Casa;Veneto Montello;2012;Loredan Gasparini;€.;25;11,5;18.01.2018;Sarzi;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N 18;Volo (cab.-Merlot);Colli Euganei;2014;Il Filo'delle Vigne;€;16;6;16.01.2016;Bernabei;30+6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A 8;Valpolicella Sup.;Verona;2005;Dal Forno;€.;95;44,8;11.06.2012;Tescari;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N 4;Valpolicella ripasso ;Verona;2015;Accordini;€.;19;7,75;17.09.2017;Montagner;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M 2;Venegazzù della Casa 1,5;Colli del Montello;1997;Conte Loredan G.;€.;60;;;;;;;;;;;;;;;;;;;;;;55;26,2;08.02.2008;Pevarello;6;;A 13;Amarone;Negrar;3;Le Ragose;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;26,2;08.02.2008;Pevarello;6;;A 13;Amarone;Negrar;3;Le Ragose;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;26,2;08.02.2008;Pevarello;6;;A 13;Amarone;Negrar;3;Le Ragose;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;26,2;08.02.2008;Pevarello;6
N 4;"Vinciguerra ""Colli di Coneg.""";;2008;;€.;27;10,5;14.05.2014;Robert;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x 11;Vite rossa magnum;Veneto;2000;O.Molon;€.;49;05.06.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N 1;Vite rossa;Piave;2002;O.Molon;€.;29;9,5;06.06.2006;Tescari;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;F r i u l i    V e n e z i a    G i u l i a;;;;;;;;;;;;;;;;;;;;;;;;;;;21;9,5;06.06.2006;Tescari;18;;N 1;Vite rossa;Piave;2;O.Molon;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;9,5;06.06.2006;Tescari;18;;N 1;Vite rossa;Piave;2;O.Molon;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;9,5;06.06.2006;Tescari;18;;N 1;Vite rossa;Piave;2;O.Molon;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;9,5;06.06.2006;Tescari;18
##;Le Vigne diZamò-  Collio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 19;Merlot 50 Anni;Collio;2006;Le vign di Zamò;€.;33;15;10.02.2010;Bernabei;12;;;;;;;;;;;;;;;;;;15;4,9;;;;;O 4;Collio rosso;Collio;97;Villanova;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;4,9;;;;;O 4;Collio rosso;Collio;97;Villanova;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;4,9;;;;;O 4;Collio rosso;Collio;97;Villanova;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;4,9;;;
O 11;Rè fosco;Collio;2006;Le vign di Zamò;€.;33;15;10.02.2010;Bernabei;12;;;;;;;;;;;;;;;;;;15;4,9;;;;;O 4;Collio rosso;Collio;97;Villanova;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;4,9;;;;;O 4;Collio rosso;Collio;97;Villanova;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;4,9;;;;;O 4;Collio rosso;Collio;97;Villanova;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;4,9;;;
##;Moschioni -  C.o.F.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 1;Pignolo;C.o.f.;2007;Moschioni;€.;59;28;14.07.2014;Bressati;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X 13;Refosco magnum;Friuli;2001;Moschioni;€.;42;04.12.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 5;Rosso;C.o.f.;2010;Moschioni;€.;22;10;14.07.2014;Bressati;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X 13;Rosso Celtico magnum ;Friuli;2001;Moschioni;€.;59;04.12.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 4 ;Rosso Celtico;Friuli;2001;Moschioni;€.;28;13,8;04.12.2005;;;;;;;;;;;;;;;;;;;;14;;;;;;O 7;Merlot;Colli O. del Friuli;4;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;O 7;Merlot;Colli O. del Friuli;4;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;O 7;Merlot;Colli O. del Friuli;4;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;
##;Damjan Podversic -  Collio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 13;Collio rosso;Collio;2000;Podversic;€.;45;12;;;;;;;;;;;;;;;;;;;;;32;;;;;;O 21;Merlot;Collio;1;Damian Princic;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;O 21;Merlot;Collio;1;Damian Princic;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;O 21;Merlot;Collio;1;Damian Princic;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;
O 19;Prelit Rosso Collio;Venezia Giulia;2002;Podversic;€.;42;;;;;;;;;;;;;;;;;;;;;;22;8,5;06.02.2006;;;;O 21;Merlot Artiul   ;Colli O.del Friuli;3;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;8,5;06.02.2006;;;;O 21;Merlot Artiul   ;Colli O.del Friuli;3;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;8,5;06.02.2006;;;;O 21;Merlot Artiul   ;Colli O.del Friuli;3;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;8,5;06.02.2006;;
O 9;Prelit Rosso Collio;Collio;2001;Podversic;€.;44;15,05;;;;;;;;;;;;;;;;;;;;;27;8,3;;;;;O 10;Merlot Artiul  cru;Colli O. del Friuli;0;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;8,3;;;;;O 10;Merlot Artiul  cru;Colli O. del Friuli;0;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;8,3;;;;;O 10;Merlot Artiul  cru;Colli O. del Friuli;0;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;8,3;;;
##;Puiatti -  Collio e Isonzo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 22;"Merlot ""Le Zuccole""";Isonzo;2006;Puiatti;€.;23;5,9;07.10.2007;Montagner;12;;;;;;;;;;;;;;;;;;23;8,3;;;;;O 3;Merlot Artiul   ;Colli O. del Friuli;99;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;8,3;;;;;O 3;Merlot Artiul   ;Colli O. del Friuli;99;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;8,3;;;;;O 3;Merlot Artiul   ;Colli O. del Friuli;99;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;8,3;;;
O 23;"Merlot ""Ruttars""";Collio;2005;Puiatti;€.;25;7,9;07.10.2007;Montagner;24;;;;;;;;;;;;;;;;;;22;;;;;;F 7;Merlot Artiul;Colli O. del Friuli;4;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;F 7;Merlot Artiul;Colli O. del Friuli;4;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;F 7;Merlot Artiul;Colli O. del Friuli;4;Ronco Severo;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;
##;Ronco Severo -  Prepotto C.O.f.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M 8;Merlot;Colli O. del Friuli;2019;Ronco Severo;€.;33;;;;;;;;;;;;;;;;;;;;;;18;7,9;07.10.2007;Montagner;24;;O 23;"Merlot ""Ruttars""";Collio;5;Puiatti;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;7,9;07.10.2007;Montagner;24;;O 23;"Merlot ""Ruttars""";Collio;5;Puiatti;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;7,9;07.10.2007;Montagner;24;;O 23;"Merlot ""Ruttars""";Collio;5;Puiatti;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;7,9;07.10.2007;Montagner;24
O 9;Schioppettino;Colli O.del Friuli;2017;Ronco Severo;€.;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
##;Russiz Superiore -  Collio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 7;Cabernet Franc;collio;2013;Russiz Superiore;€.;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 10;Merlot; ;2013;Marco Felluga;€.;22;7,45;16.03.2016;Robert;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 6;Merlot;Collio;2005;Russiz Superiore;€.;25;11,5;07.10.2007;Luca Romano;6;;;;;;;;;;;;;;;;;;33;15,05;;;;;O 9;Prelit Rosso Collio;Collio;1;Podversic;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;15,05;;;;;O 9;Prelit Rosso Collio;Collio;1;Podversic;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;15,05;;;;;O 9;Prelit Rosso Collio;Collio;1;Podversic;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;15,05;;;
##;Tercic-Collio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 17;Merlot;Collio;1999;Tercic;€.;27;8;;;;;;;;;;;;;;;;;;;;;24;9;;;;;O 23;Tazzelenghe;Colli O.delFriuli;98;LaViarte;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;9;;;;;O 23;Tazzelenghe;Colli O.delFriuli;98;LaViarte;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;9;;;;;O 23;Tazzelenghe;Colli O.delFriuli;98;LaViarte;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;9;;;
O 3;Merlot;Collio;2006;Tercic;€.;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 12;Merlot;Collio;2009;Tercic;€.;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
##;Vie di Romans-  Isonzo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O 19;Maurus;Isonzo;2017;Vie di Romans;€.;29;8,5;10.06.2010;Bernabei;18;;;;;;;;;;;;;;;;;;40;;;;;;O 14;Refosco;Collio;99;Livio Felluga;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;O 14;Refosco;Collio;99;Livio Felluga;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;O 14;Refosco;Collio;99;Livio Felluga;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;
O 10;Voos dai Ciamps;Isonzo;2001;Vie di Romans;€.;35;13;06.01.2006;Bernabei;;;;;;;;;;;;;;;;;;;30;14;03.06.2006;Parrasi;12;;A 10;Roi;Colli O.delFriuli;99;La Viarte;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;14;03.06.2006;Parrasi;12;;A 10;Roi;Colli O.delFriuli;99;La Viarte;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;14;03.06.2006;Parrasi;12;;A 10;Roi;Colli O.delFriuli;99;La Viarte;€.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;14;03.06.2006;Parrasi;12
##;Vistorta-Venezia Giulia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
